Season,Episode,Character,Appearance_Type
9,Excellence in Broadcasting,Lois Griffin,Also Appearing
9,Excellence in Broadcasting,Stewie Griffin,Also Appearing
9,Excellence in Broadcasting,Chris Griffin,Also Appearing
9,Excellence in Broadcasting,Meg Griffin,Also Appearing
9,Excellence in Broadcasting,Stan Smith,Also Appearing
9,Excellence in Broadcasting,Mike Brady,Also Appearing
9,Excellence in Broadcasting,Carol Brady,Also Appearing
9,Excellence in Broadcasting,"African American ""friends""",Also Appearing
9,Excellence in Broadcasting,Joyce Kinney,Also Appearing
9,Excellence in Broadcasting,Tom Tucker,Also Appearing
9,Excellence in Broadcasting,Ollie Williams,Also Appearing
9,Excellence in Broadcasting,John McCain,Also Appearing
9,Excellence in Broadcasting,Hot Dog,Also Appearing
9,Excellence in Broadcasting,Barney Frank,Also Appearing
9,Excellence in Broadcasting,The Harlem Globetrotters,Also Appearing
9,Excellence in Broadcasting,Nancy Pelosi,Also Appearing
9,Excellence in Broadcasting,Mickey Rourke,Also Appearing
9,Excellence in Broadcasting,Chuck Norris,Also Appearing
9,Excellence in Broadcasting,Jon Voight,Also Appearing
9,Excellence in Broadcasting,George W. Bush,Also Appearing
9,Excellence in Broadcasting,Barack Obama,Also Appearing
9,Excellence in Broadcasting,Ronald Reagan,Also Appearing
9,Excellence in Broadcasting,Bill Clinton,Also Appearing
9,Excellence in Broadcasting,Jimmy Carter,Also Appearing
9,Excellence in Broadcasting,Dick Cheney,Also Appearing
9,Excellence in Broadcasting,Tyler Labine,Also Appearing
9,Excellence in Broadcasting,Benjamin Stockham,Also Appearing
9,Excellence in Broadcasting,Frank Dolce,Also Appearing
9,Excellence in Broadcasting,Matthew Levy Uncensored version - George H. W. Bush,Also Appearing
9,Excellence in Broadcasting,Rupert,Also Appearing
9,"Welcome Back, Carter",Lois Griffin,Also Appearing
9,"Welcome Back, Carter",Heather Mills,Also Appearing
9,"Welcome Back, Carter",Brian Griffin,Also Appearing
9,"Welcome Back, Carter",Quagmire,Also Appearing
9,"Welcome Back, Carter",Joe Swanson,Also Appearing
9,"Welcome Back, Carter",Paula,Also Appearing
9,"Welcome Back, Carter",Jonathan Lipnicki,Also Appearing
9,"Welcome Back, Carter",Diabeto,Also Appearing
9,"Welcome Back, Carter",Roginald,Also Appearing
9,"Welcome Back, Carter",Storyteller,Also Appearing
9,"Welcome Back, Carter",Clarence,Also Appearing
9,Halloween on Spooner Street,Lois Griffin,Also Appearing
9,Halloween on Spooner Street,Chris Griffin,Also Appearing
9,Halloween on Spooner Street,Rupert,Also Appearing
9,Halloween on Spooner Street,Mayor Adam West,Also Appearing
9,Halloween on Spooner Street,Mort Goldman,Also Appearing
9,Halloween on Spooner Street,Connie DiMico,Also Appearing
9,Halloween on Spooner Street,Patty,Also Appearing
9,Halloween on Spooner Street,Esther,Also Appearing
9,Halloween on Spooner Street,Ruth,Also Appearing
9,Halloween on Spooner Street,"Richard ""Dick"" Pump",Also Appearing
9,Halloween on Spooner Street,Justin,Also Appearing
9,Halloween on Spooner Street,The Pink Panther,Also Appearing
9,Halloween on Spooner Street,Bill Clinton,Also Appearing
9,Halloween on Spooner Street,Scarlett Johansson,Also Appearing
9,Halloween on Spooner Street,Laura Linney Uncensored version: Michael Cera,Also Appearing
9,Halloween on Spooner Street,Floyd Wetherton,Also Appearing
9,"Baby, You Knock Me Out",Stewie Griffin,Also Appearing
9,"Baby, You Knock Me Out",Brian Griffin,Also Appearing
9,"Baby, You Knock Me Out",Meg Griffin,Also Appearing
9,"Baby, You Knock Me Out",Chris Griffin,Also Appearing
9,"Baby, You Knock Me Out",Joe Swanson,Also Appearing
9,"Baby, You Knock Me Out",Quagmire,Also Appearing
9,"Baby, You Knock Me Out",Bonnie Swanson,Also Appearing
9,"Baby, You Knock Me Out",Bruce,Also Appearing
9,"Baby, You Knock Me Out",Carter Pewterschmidt,Also Appearing
9,"Baby, You Knock Me Out",Barbara Pewterschmidt,Also Appearing
9,"Baby, You Knock Me Out",Deirdre Jackson,Also Appearing
9,"Baby, You Knock Me Out",Mayor Adam West,Also Appearing
9,"Baby, You Knock Me Out",Herbert,Also Appearing
9,"Baby, You Knock Me Out",Angela,Also Appearing
9,"Baby, You Knock Me Out",Seamus,Also Appearing
9,"Baby, You Knock Me Out",Mort Goldman,Also Appearing
9,"Baby, You Knock Me Out",Dr. Hartman,Also Appearing
9,"Baby, You Knock Me Out",Tom Tucker,Also Appearing
9,"Baby, You Knock Me Out",Floyd Wetherton,Also Appearing
9,Brian Writes a Bestseller,Peter Griffin,Also Appearing
9,Brian Writes a Bestseller,Lois Griffin,Also Appearing
9,Brian Writes a Bestseller,Chris Griffin,Also Appearing
9,Brian Writes a Bestseller,Meg Griffin,Also Appearing
9,Brian Writes a Bestseller,Rupert,Also Appearing
9,Brian Writes a Bestseller,Tom Tucker,Also Appearing
9,Brian Writes a Bestseller,Mayor Adam West,Also Appearing
9,Brian Writes a Bestseller,Sharhooz,Also Appearing
9,Brian Writes a Bestseller,Kelly,Also Appearing
9,Brian Writes a Bestseller,Jan,Also Appearing
9,Brian Writes a Bestseller,Spuds MacKenzie,Also Appearing
9,Brian Writes a Bestseller,Renée Zellweger,Also Appearing
9,Brian Writes a Bestseller,Bill Maher,Also Appearing
9,Brian Writes a Bestseller,Arianna Huffington,Also Appearing
9,Brian Writes a Bestseller,Dana Gould,Also Appearing
9,Brian Writes a Bestseller,Melanie Griffith Uncensored version: Bradley Cooper,Also Appearing
9,Road to the North Pole,Peter Griffin,Also Appearing
9,Road to the North Pole,Lois Griffin,Also Appearing
9,Road to the North Pole,Meg Griffin,Also Appearing
9,Road to the North Pole,Chris Griffin,Also Appearing
9,Road to the North Pole,Rupert,Also Appearing
9,Road to the North Pole,Ron MacFarlane,Also Appearing
9,Road to the North Pole,Aurora Boreanaz,Also Appearing
9,Road to the North Pole,Quagmire,Also Appearing
9,Road to the North Pole,Bonnie Swanson,Also Appearing
9,Road to the North Pole,Joe Swanson,Also Appearing
9,Road to the North Pole,Susie Swanson,Also Appearing
9,Road to the North Pole,Mort Goldman,Also Appearing
9,Road to the North Pole,Neil Goldman,Also Appearing
9,Road to the North Pole,Bruce,Also Appearing
9,Road to the North Pole,Consuela,Also Appearing
9,Road to the North Pole,Herbert,Also Appearing
9,Road to the North Pole,Mayor Adam West,Also Appearing
9,Road to the North Pole,Tom Tucker,Also Appearing
9,Road to the North Pole,Angela,Also Appearing
9,Road to the North Pole,Jillian,Also Appearing
9,Road to the North Pole,Carl,Also Appearing
9,Road to the North Pole,Tomik,Also Appearing
9,Road to the North Pole,Bellgarde,Also Appearing
9,Road to the North Pole,Carter Pewterschmidt,Also Appearing
9,Road to the North Pole,Barbara Pewterschmidt,Also Appearing
9,Road to the North Pole,Seamus,Also Appearing
9,Road to the North Pole,Dr. Hartman,Also Appearing
9,Road to the North Pole,Jesse,Also Appearing
9,Road to the North Pole,Cleveland Brown,Also Appearing
9,Road to the North Pole,Tricia Takanawa,Also Appearing
9,Road to the North Pole,Dan,Also Appearing
9,Road to the North Pole,Abby,Also Appearing
9,Road to the North Pole,Jerry the Goose,Also Appearing
9,Road to the North Pole,Robert,Also Appearing
9,Road to the North Pole,Janice,Also Appearing
9,Road to the North Pole,Lisa,Also Appearing
9,Road to the North Pole,Jane,Also Appearing
9,Road to the North Pole,Rosalynn,Also Appearing
9,Road to the North Pole,Winnie-the-Pooh,Also Appearing
9,Road to the North Pole,Eeyore,Also Appearing
9,Road to the North Pole,Scott Baio,Also Appearing
9,Road to the North Pole,Jessica Biel,Also Appearing
9,Road to the North Pole,Megan Fox,Also Appearing
9,Road to the North Pole,Jennifer Garner,Also Appearing
9,Road to the North Pole,Nick Jonas,Also Appearing
9,Road to the North Pole,Gary Busey,Also Appearing
9,Road to the North Pole,Michael Landon,Also Appearing
9,Road to the North Pole,Charles Manson,Also Appearing
9,Road to the North Pole,Osama bin Laden,Also Appearing
9,Road to the North Pole,Bette Midler,Also Appearing
9,Road to the North Pole,Ted Kaczynski Uncensored version: Joseph,Also Appearing
9,Road to the North Pole,The Virgin Mary,Also Appearing
9,New Kidney in Town,Lois Griffin,Also Appearing
9,New Kidney in Town,Quagmire,Also Appearing
9,New Kidney in Town,Joe Swanson,Also Appearing
9,New Kidney in Town,Horace,Also Appearing
9,New Kidney in Town,Principal Shepherd,Also Appearing
9,New Kidney in Town,Tom Tucker,Also Appearing
9,New Kidney in Town,Joyce Kinney,Also Appearing
9,New Kidney in Town,Elmer Hartman,Also Appearing
9,New Kidney in Town,Barack Obama,Also Appearing
9,New Kidney in Town,Nicole Eggert,Also Appearing
9,New Kidney in Town,Willie Aames,Also Appearing
9,New Kidney in Town,Josie Davis,Also Appearing
9,New Kidney in Town,Sandra Kerns,Also Appearing
9,New Kidney in Town,Scott Baio,Also Appearing
9,New Kidney in Town,Alexander Polinsky,Also Appearing
9,New Kidney in Town,James T. Callahan,Also Appearing
9,New Kidney in Town,Drew Carey,Also Appearing
9,New Kidney in Town,Emily Brontë,Also Appearing
9,New Kidney in Town,Charlotte Brontë,Also Appearing
9,New Kidney in Town,Anne Brontë,Also Appearing
9,And I'm Joyce Kinney,Peter Griffin,Also Appearing
9,And I'm Joyce Kinney,Chris Griffin,Also Appearing
9,And I'm Joyce Kinney,Meg Griffin,Also Appearing
9,And I'm Joyce Kinney,Stewie Griffin,Also Appearing
9,And I'm Joyce Kinney,Brian Griffin,Also Appearing
9,And I'm Joyce Kinney,Rupert,Also Appearing
9,And I'm Joyce Kinney,Quagmire,Also Appearing
9,And I'm Joyce Kinney,Bonnie Swanson,Also Appearing
9,And I'm Joyce Kinney,Joe Swanson,Also Appearing
9,And I'm Joyce Kinney,Tom Tucker,Also Appearing
9,And I'm Joyce Kinney,Seamus,Also Appearing
9,And I'm Joyce Kinney,Consuela,Also Appearing
9,And I'm Joyce Kinney,Ollie Williams,Also Appearing
9,And I'm Joyce Kinney,Carter Pewterschmidt,Also Appearing
9,And I'm Joyce Kinney,Barbara Pewterschmidt,Also Appearing
9,And I'm Joyce Kinney,Thelma Griffin,Also Appearing
9,And I'm Joyce Kinney,Angus Reid,Also Appearing
9,And I'm Joyce Kinney,News editor Mike,Also Appearing
9,And I'm Joyce Kinney,Dale Robinson,Also Appearing
9,And I'm Joyce Kinney,Danny Zuko,Also Appearing
9,And I'm Joyce Kinney,Sandy Olsson,Also Appearing
9,And I'm Joyce Kinney,Raul and Other Guy,Also Appearing
9,And I'm Joyce Kinney,Fozzie Bear,Also Appearing
9,And I'm Joyce Kinney,Kermit the Frog,Also Appearing
9,And I'm Joyce Kinney,Tina Fey,Also Appearing
9,And I'm Joyce Kinney,Ellen DeGeneres,Also Appearing
9,Friends of Peter G.,Lois Griffin,Also Appearing
9,Friends of Peter G.,Meg Griffin,Also Appearing
9,Friends of Peter G.,Chris Griffin,Also Appearing
9,Friends of Peter G.,Stewie Griffin,Also Appearing
9,Friends of Peter G.,Bruce,Also Appearing
9,Friends of Peter G.,Joe Swanson,Also Appearing
9,Friends of Peter G.,Quagmire,Also Appearing
9,Friends of Peter G.,Judge,Also Appearing
9,Friends of Peter G.,Dr. Hartman,Also Appearing
9,Friends of Peter G.,Carl,Also Appearing
9,Friends of Peter G.,Tom Tucker,Also Appearing
9,Friends of Peter G.,Ollie Williams,Also Appearing
9,Friends of Peter G.,Tomik and Bellgarde,Also Appearing
9,Friends of Peter G.,Angela,Also Appearing
9,Friends of Peter G.,Greg,Also Appearing
9,Friends of Peter G.,Jenny,Also Appearing
9,Friends of Peter G.,Tom Hanks,Also Appearing
9,Friends of Peter G.,The Cast of The Sound of Music,Also Appearing
9,Friends of Peter G.,William Wordsworth,Also Appearing
9,Friends of Peter G.,Philip,Also Appearing
9,Friends of Peter G.,Ernest,Also Appearing
9,Friends of Peter G.,Jonathan Uncensored version: Jeffrey,Also Appearing
9,Friends of Peter G.,Julia Roberts,Also Appearing
9,German Guy,Peter Griffin,Also Appearing
9,German Guy,Lois Griffin,Also Appearing
9,German Guy,Meg Griffin,Also Appearing
9,German Guy,Stewie Griffin,Also Appearing
9,German Guy,Brian Griffin,Also Appearing
9,German Guy,Quagmire,Also Appearing
9,German Guy,Jesse,Also Appearing
9,German Guy,Frieda,Also Appearing
9,The Hand That Rocks the Wheelchair,Peter Griffin,Also Appearing
9,The Hand That Rocks the Wheelchair,Lois Griffin,Also Appearing
9,The Hand That Rocks the Wheelchair,Quagmire,Also Appearing
9,The Hand That Rocks the Wheelchair,Susie Swanson,Also Appearing
9,The Hand That Rocks the Wheelchair,Bonnie Swanson,Also Appearing
9,The Hand That Rocks the Wheelchair,Herbert,Also Appearing
9,The Hand That Rocks the Wheelchair,Kool-Aid Man,Also Appearing
9,The Hand That Rocks the Wheelchair,Chris Griffin,Also Appearing
9,Trading Places,Stewie Griffin,Also Appearing
9,Trading Places,Brian Griffin,Also Appearing
9,Trading Places,Jim Kaplan,Also Appearing
9,Trading Places,Mayor Adam West,Also Appearing
9,Trading Places,Tom Tucker,Also Appearing
9,Trading Places,Dr. Hartman,Also Appearing
9,Trading Places,Ernie the Giant Chicken,Also Appearing
9,Trading Places,Angela,Also Appearing
9,Trading Places,Connie DiMico,Also Appearing
9,Trading Places,Herbert,Also Appearing
9,Trading Places,Gina,Also Appearing
9,Trading Places,Principal Shepherd,Also Appearing
9,Trading Places,Amber,Also Appearing
9,Trading Places,Bruce,Also Appearing
9,Trading Places,RJ,Also Appearing
9,Trading Places,Mort Goldman,Also Appearing
9,Trading Places,Carter Pewterschmidt,Also Appearing
9,Trading Places,Horace,Also Appearing
9,Trading Places,Rupert,Also Appearing
9,Trading Places,Seamus,Also Appearing
9,Trading Places,Carl,Also Appearing
9,Trading Places,Ollie Williams,Also Appearing
9,Tiegs for Two,Chris Griffin,Also Appearing
9,Tiegs for Two,Meg Griffin,Also Appearing
9,Tiegs for Two,Stewie Griffin,Also Appearing
9,Tiegs for Two,Lois Griffin,Also Appearing
9,Tiegs for Two,Jillian,Also Appearing
9,Tiegs for Two,James William Bottomtooth III,Also Appearing
9,Tiegs for Two,Mort Goldman,Also Appearing
9,Tiegs for Two,Carl,Also Appearing
9,Tiegs for Two,Tom Tucker,Also Appearing
9,Tiegs for Two,Seamus,Also Appearing
9,Tiegs for Two,Mayor Adam West,Also Appearing
9,Tiegs for Two,Denise,Also Appearing
9,Tiegs for Two,Bettina,Also Appearing
9,Tiegs for Two,Cheryl Tiegs,Also Appearing
9,Tiegs for Two,Mr. Washee Washee,Also Appearing
9,Tiegs for Two,Joe Swanson,Also Appearing
9,Tiegs for Two,Bonnie Swanson,Also Appearing
9,Tiegs for Two,Megatron,Also Appearing
9,Tiegs for Two,Negatron,Also Appearing
9,Tiegs for Two,Michael J. Fox,Also Appearing
9,Tiegs for Two,Ang Lee,Also Appearing
9,Tiegs for Two,Gene Shalit,Also Appearing
9,Tiegs for Two,John Davidson,Also Appearing
9,Tiegs for Two,Bubo,Also Appearing
9,Brothers & Sisters,Chris Griffin,Also Appearing
9,Brothers & Sisters,Stewie Griffin,Also Appearing
9,Brothers & Sisters,Meg Griffin,Also Appearing
9,Brothers & Sisters,Brian Griffin,Also Appearing
9,Brothers & Sisters,Rupert,Also Appearing
9,Brothers & Sisters,Robert Loggia,Also Appearing
9,Brothers & Sisters,Quagmire,Also Appearing
9,Brothers & Sisters,Barbara Pewterschmidt,Also Appearing
9,Brothers & Sisters,Carter Pewterschmidt,Also Appearing
9,Brothers & Sisters,Evan Johnson,Also Appearing
9,Brothers & Sisters,Randall Carrington,Also Appearing
9,Brothers & Sisters,Doggie Daddy,Also Appearing
9,Brothers & Sisters,Peter's Broster,Also Appearing
9,Brothers & Sisters,Tyler,Also Appearing
9,Brothers & Sisters,Otto Von Shtad,Also Appearing
9,Brothers & Sisters,Elyse Keaton,Also Appearing
9,Brothers & Sisters,Steven Keaton,Also Appearing
9,Brothers & Sisters,Jennifer Keaton,Also Appearing
9,Brothers & Sisters,Thomas Edison,Also Appearing
9,Brothers & Sisters,Nikola Tesla,Also Appearing
9,The Big Bang Theory,Peter Griffin,Also Appearing
9,The Big Bang Theory,Lois Griffin,Also Appearing
9,The Big Bang Theory,Chris Griffin,Also Appearing
9,The Big Bang Theory,Meg Griffin,Also Appearing
9,The Big Bang Theory,Cleveland Brown,Also Appearing
9,The Big Bang Theory,Neil Armstrong,Also Appearing
9,The Big Bang Theory,Yousef,Also Appearing
9,The Big Bang Theory,Thomas Edison,Also Appearing
9,The Big Bang Theory,Michelangelo,Also Appearing
9,Foreign Affairs,Peter Griffin,Also Appearing
9,Foreign Affairs,Chris Griffin,Also Appearing
9,Foreign Affairs,Meg Griffin,Also Appearing
9,Foreign Affairs,Stewie Griffin,Also Appearing
9,Foreign Affairs,Brian Griffin,Also Appearing
9,Foreign Affairs,Joe Swanson,Also Appearing
9,Foreign Affairs,Quagmire,Also Appearing
9,Foreign Affairs,Principal Shepherd,Also Appearing
9,Foreign Affairs,Jafar,Also Appearing
9,Foreign Affairs,Iago,Also Appearing
9,Foreign Affairs,Tom Tucker,Also Appearing
9,Foreign Affairs,Ken Radowski,Also Appearing
9,Foreign Affairs,Francine Smith,Also Appearing
9,Foreign Affairs,Steve Smith,Also Appearing
9,Foreign Affairs,Hayley Smith,Also Appearing
9,Foreign Affairs,Klaus,Also Appearing
9,Foreign Affairs,Roger,Also Appearing
9,Foreign Affairs,Abraham,Also Appearing
9,Foreign Affairs,Henry VIII,Also Appearing
9,Foreign Affairs,Joseph Smith,Also Appearing
9,Foreign Affairs,François,Also Appearing
9,Foreign Affairs,David Bowie,Also Appearing
9,Foreign Affairs,Mick Jagger uncensored version: Jesus Christ,Also Appearing
9,Foreign Affairs,Father McNamara,Also Appearing
9,It's a Trap!,Opie,Also Appearing
9,It's a Trap!,Osama bin Laden,Also Appearing
9,It's a Trap!,Live Studio Ostrich,Also Appearing
9,It's a Trap!,Jeremy the Terminally ill Boy,Also Appearing
9,It's a Trap!,Ted Knight,Also Appearing
9,It's a Trap!,Pee Wee Herman,Also Appearing
9,It's a Trap!,John Williams,Also Appearing
9,It's a Trap!,Conway Twitty,Also Appearing
9,It's a Trap!,The Cast of Star Trek: The Next Generation,Also Appearing
9,It's a Trap!,Will Robinson,Also Appearing
9,It's a Trap!,Dr. Smith,Also Appearing
9,It's a Trap!,Robot,Also Appearing
9,It's a Trap!,Power Station,Also Appearing
9,It's a Trap!,Mabel Simmons,Also Appearing
9,It's a Trap!,IG-88,Also Appearing
9,It's a Trap!,Pignose,Also Appearing
9,It's a Trap!,London Symphony Orchestra,Also Appearing
9,It's a Trap!,Imperial Stormtroopers,Also Appearing
10,Lottery Fever,Meg Griffin,Also Appearing
10,Lottery Fever,Chris Griffin,Also Appearing
10,Lottery Fever,Stewie Griffin,Also Appearing
10,Lottery Fever,Brian Griffin,Also Appearing
10,Lottery Fever,Joe Swanson,Also Appearing
10,Lottery Fever,Quagmire,Also Appearing
10,Lottery Fever,Mayor Adam West,Also Appearing
10,Lottery Fever,Horace,Also Appearing
10,Lottery Fever,Tom Tucker,Also Appearing
10,Lottery Fever,Joyce Kinney,Also Appearing
10,Lottery Fever,Tricia Takanawa,Also Appearing
10,Lottery Fever,Angela,Also Appearing
10,Lottery Fever,Nikki,Also Appearing
10,Lottery Fever,Ricardo Montalban,Also Appearing
10,Lottery Fever,William Shatner,Also Appearing
10,Lottery Fever,Mort Goldman,Also Appearing
10,Lottery Fever,Bruce,Also Appearing
10,Lottery Fever,Eduard Khil,Also Appearing
10,Lottery Fever,Carstairs,Also Appearing
10,Lottery Fever,Sandra,Also Appearing
10,Lottery Fever,Bruce Jenner,Also Appearing
10,Lottery Fever,Michael McDonald,Also Appearing
10,Lottery Fever,Anna Paquin,Also Appearing
10,Seahorse Seashell Party[f],Lois Griffin,Also Appearing
10,Seahorse Seashell Party[f],Peter Griffin,Also Appearing
10,Seahorse Seashell Party[f],Chris Griffin,Also Appearing
10,Seahorse Seashell Party[f],Stewie Griffin,Also Appearing
10,Seahorse Seashell Party[f],Tom Tucker,Also Appearing
10,Seahorse Seashell Party[f],Lady Gaga. G.I. José,Also Appearing
10,Seahorse Seashell Party[f],Rupert,Also Appearing
10,Screams of Silence: The Story of Brenda Q,Peter Griffin,Also Appearing
10,Screams of Silence: The Story of Brenda Q,Lois Griffin,Also Appearing
10,Screams of Silence: The Story of Brenda Q,Chris Griffin,Also Appearing
10,Screams of Silence: The Story of Brenda Q,Meg Griffin,Also Appearing
10,Screams of Silence: The Story of Brenda Q,Brian Griffin,Also Appearing
10,Screams of Silence: The Story of Brenda Q,Stewie Griffin,Also Appearing
10,Screams of Silence: The Story of Brenda Q,Joe Swanson,Also Appearing
10,Screams of Silence: The Story of Brenda Q,Bonnie Swanson,Also Appearing
10,Screams of Silence: The Story of Brenda Q,Dr. Hartman,Also Appearing
10,Screams of Silence: The Story of Brenda Q,Jay Leno,Also Appearing
10,Screams of Silence: The Story of Brenda Q,Rickey Minor,Also Appearing
10,Stewie Goes for a Drive,Rupert,Also Appearing
10,Stewie Goes for a Drive,Lois Griffin,Also Appearing
10,Stewie Goes for a Drive,Meg Griffin,Also Appearing
10,Stewie Goes for a Drive,Chris Griffin,Also Appearing
10,Stewie Goes for a Drive,Consuela,Also Appearing
10,Stewie Goes for a Drive,Mrs. Janetti,Also Appearing
10,Stewie Goes for a Drive,Gavin Janetti,Also Appearing
10,Stewie Goes for a Drive,Carol,Also Appearing
10,Stewie Goes for a Drive,Adzin,Also Appearing
10,Stewie Goes for a Drive,Lindsay,Also Appearing
10,Stewie Goes for a Drive,Shelley Duvall,Also Appearing
10,Back to the Pilot,Peter Griffin,Also Appearing
10,Back to the Pilot,Lois Griffin,Also Appearing
10,Back to the Pilot,Chris Griffin,Also Appearing
10,Back to the Pilot,Meg Griffin,Also Appearing
10,Back to the Pilot,Quagmire,Also Appearing
10,Back to the Pilot,Joe Swanson,Also Appearing
10,Back to the Pilot,Cleveland Brown,Also Appearing
10,Back to the Pilot,Charlie,Also Appearing
10,Back to the Pilot,Rupert,Also Appearing
10,Back to the Pilot,Judge,Also Appearing
10,Back to the Pilot,Kool-Aid Man,Also Appearing
10,Back to the Pilot,Cookie Monster,Also Appearing
10,Back to the Pilot,Tom Tucker,Also Appearing
10,Back to the Pilot,Joyce Kinney,Also Appearing
10,Back to the Pilot,George W. Bush,Also Appearing
10,Back to the Pilot,Frogmire,Also Appearing
10,Back to the Pilot,Bert & Ernie,Also Appearing
10,Thanksgiving,Lois Griffin,Also Appearing
10,Thanksgiving,Peter Griffin,Also Appearing
10,Thanksgiving,Chris Griffin,Also Appearing
10,Thanksgiving,Meg Griffin,Also Appearing
10,Thanksgiving,Stewie Griffin,Also Appearing
10,Thanksgiving,Brian Griffin,Also Appearing
10,Thanksgiving,Carter Pewterschmidt,Also Appearing
10,Thanksgiving,Barbara Pewterschmidt,Also Appearing
10,Thanksgiving,Carol West,Also Appearing
10,Thanksgiving,Mayor Adam West,Also Appearing
10,Thanksgiving,Quagmire,Also Appearing
10,Thanksgiving,Ida Quagmire,Also Appearing
10,Thanksgiving,Susie Swanson,Also Appearing
10,Thanksgiving,Bonnie Swanson,Also Appearing
10,Thanksgiving,Elmer Hartman,Also Appearing
10,Thanksgiving,Mort Goldman,Also Appearing
10,Thanksgiving,Tom Tucker,Also Appearing
10,Thanksgiving,Joyce Kinney,Also Appearing
10,Thanksgiving,Reggie,Also Appearing
10,Thanksgiving,Scarecrow,Also Appearing
10,Thanksgiving,Tin Man,Also Appearing
10,Thanksgiving,The Cowardly Lion,Also Appearing
10,Thanksgiving,Lindsay Lohan,Also Appearing
10,Amish Guy,Lois Griffin,Also Appearing
10,Amish Guy,Stewie Griffin,Also Appearing
10,Amish Guy,Brian Griffin,Also Appearing
10,Amish Guy,Chris Griffin,Also Appearing
10,Amish Guy,Quagmire,Also Appearing
10,Amish Guy,Joe Swanson,Also Appearing
10,Amish Guy,Bonnie Swanson,Also Appearing
10,Amish Guy,Joyce Kinney,Also Appearing
10,Amish Guy,Tom Tucker,Also Appearing
10,Amish Guy,Legs Go All The Way Up Griffin,Also Appearing
10,Amish Guy,Old Dumper,Also Appearing
10,Amish Guy,G.I. Joe,Also Appearing
10,Amish Guy,Orville Wright,Also Appearing
10,Amish Guy,DVD exclusive: Garfield,Also Appearing
10,Cool Hand Peter,Brian Griffin,Also Appearing
10,Cool Hand Peter,Stewie Griffin,Also Appearing
10,Cool Hand Peter,Chris Griffin,Also Appearing
10,Cool Hand Peter,Meg Griffin,Also Appearing
10,Cool Hand Peter,Lois Griffin,Also Appearing
10,Cool Hand Peter,Bonnie Swanson,Also Appearing
10,Cool Hand Peter,Donna Tubbs-Brown,Also Appearing
10,Cool Hand Peter,Mayor Adam West,Also Appearing
10,Cool Hand Peter,Seamus,Also Appearing
10,Cool Hand Peter,Sheriff Nichols,Also Appearing
10,Cool Hand Peter,Homer,Also Appearing
10,Cool Hand Peter,Marge,Also Appearing
10,Cool Hand Peter,Lisa,Also Appearing
10,Cool Hand Peter,Bart,Also Appearing
10,Cool Hand Peter,Maggie,Also Appearing
10,Cool Hand Peter,Krusty,Also Appearing
10,Cool Hand Peter,Comic Book Guy,Also Appearing
10,Cool Hand Peter,Groundskeeper Willie,Also Appearing
10,Cool Hand Peter,Edna Krabappel,Also Appearing
10,Cool Hand Peter,Ned Flanders,Also Appearing
10,Cool Hand Peter,Otto Mann,Also Appearing
10,Cool Hand Peter,Moe,Also Appearing
10,Cool Hand Peter,Mr. Burns,Also Appearing
10,Cool Hand Peter,Colonel Goatbanger,Also Appearing
10,Cool Hand Peter,Jenny,Also Appearing
10,Grumpy Old Man,Lois Griffin,Also Appearing
10,Grumpy Old Man,Chris Griffin,Also Appearing
10,Grumpy Old Man,Meg Griffin,Also Appearing
10,Grumpy Old Man,Brian Griffin,Also Appearing
10,Grumpy Old Man,Stewie Griffin,Also Appearing
10,Grumpy Old Man,Quagmire,Also Appearing
10,Grumpy Old Man,Tom Tucker,Also Appearing
10,Grumpy Old Man,Joyce Kinney,Also Appearing
10,Grumpy Old Man,Tricia Takanawa,Also Appearing
10,Grumpy Old Man,Joe Swanson,Also Appearing
10,Grumpy Old Man,Herbert,Also Appearing
10,Grumpy Old Man,Consuela,Also Appearing
10,Grumpy Old Man,Death,Also Appearing
10,Grumpy Old Man,Superdeath,Also Appearing
10,Grumpy Old Man,Mayor Adam West,Also Appearing
10,Grumpy Old Man,Wonder Woman,Also Appearing
10,Grumpy Old Man,Aquaman,Also Appearing
10,Grumpy Old Man,Superman,Also Appearing
10,Grumpy Old Man,Green Lantern,Also Appearing
10,Grumpy Old Man,Batman,Also Appearing
10,Grumpy Old Man,Ryan,Also Appearing
10,Grumpy Old Man,Bill,Also Appearing
10,Grumpy Old Man,McCartle,Also Appearing
10,Grumpy Old Man,Dr. Grace Augustine,Also Appearing
10,Grumpy Old Man,Jake Sully,Also Appearing
10,Grumpy Old Man,Angela Lansbury,Also Appearing
10,Meg and Quagmire,Brian Griffin,Also Appearing
10,Meg and Quagmire,Stewie Griffin,Also Appearing
10,Meg and Quagmire,Lois Griffin,Also Appearing
10,Meg and Quagmire,Chris Griffin,Also Appearing
10,Meg and Quagmire,Mort Goldman,Also Appearing
10,Meg and Quagmire,Bigfoot,Also Appearing
10,Meg and Quagmire,Wilford Brimley,Also Appearing
10,Meg and Quagmire,Robert Pattinson,Also Appearing
10,Meg and Quagmire,Justin Bieber,Also Appearing
10,Meg and Quagmire,Zac Efron,Also Appearing
10,Meg and Quagmire,Selena Gomez,Also Appearing
10,Meg and Quagmire,Lombard Montague,Also Appearing
10,Meg and Quagmire,Grace McLady,Also Appearing
10,Meg and Quagmire,Andy Colorado,Also Appearing
