Season,Episode,Character,Appearance_Type
4,The Courtship of Stewie's Father,Stewie Griffin,Featuring
4,The Courtship of Stewie's Father,Lois Griffin,Featuring
4,The Courtship of Stewie's Father,Chris Griffin,Featuring
4,The Courtship of Stewie's Father,Herbert,Featuring
4,The Fat Guy Strangler,Peter Griffin,Featuring
4,The Fat Guy Strangler,Lois Griffin,Featuring
4,The Fat Guy Strangler,Patrick Pewterschmidt,Featuring
4,"The Father, the Son, and the Holy Fonz",Peter Griffin,Featuring
4,"The Father, the Son, and the Holy Fonz",Stewie Griffin,Featuring
4,"The Father, the Son, and the Holy Fonz",Francis Griffin,Featuring
4,"The Father, the Son, and the Holy Fonz",The Fonz,Featuring
4,Brian Sings and Swings,Brian Griffin,Featuring
4,Brian Sings and Swings,Meg Griffin,Featuring
4,Brian Sings and Swings,Frank Sinatra,Featuring
4,Brian Sings and Swings,Jr.,Featuring
4,Brian Sings and Swings,Stewie Griffin,Featuring
4,Patriot Games,Peter Griffin,Featuring
4,Patriot Games,Tom Brady,Featuring
4,I Take Thee Quagmire,Quagmire,Featuring
4,I Take Thee Quagmire,Peter Griffin,Featuring
4,I Take Thee Quagmire,Lois Griffin,Featuring
4,I Take Thee Quagmire,Joan Quagmire,Featuring
4,Sibling Rivalry,Peter Griffin,Featuring
4,Sibling Rivalry,Lois Griffin,Featuring
4,Sibling Rivalry,Stewie Griffin,Featuring
4,Sibling Rivalry,Bertram,Featuring
4,Deep Throats,Peter Griffin,Featuring
4,Deep Throats,Lois Griffin,Featuring
4,Deep Throats,Meg Griffin,Featuring
4,Deep Throats,Stewie Griffin,Featuring
4,Deep Throats,Brian Griffin,Featuring
4,Deep Throats,Mayor Adam West,Featuring
4,Peterotica,Peter Griffin,Featuring
4,Peterotica,Carter Pewterschmidt,Featuring
4,You May Now Kiss the... Uh... Guy Who Receives,Jasper,Featuring
4,You May Now Kiss the... Uh... Guy Who Receives,Ricardo,Featuring
4,You May Now Kiss the... Uh... Guy Who Receives,Brian Griffin,Featuring
4,You May Now Kiss the... Uh... Guy Who Receives,Chris Griffin,Featuring
4,You May Now Kiss the... Uh... Guy Who Receives,Alyssa,Featuring
4,You May Now Kiss the... Uh... Guy Who Receives,Mayor Adam West,Featuring
4,Petergeist,Peter Griffin,Featuring
4,Petergeist,Lois Griffin,Featuring
4,The Griffin Family History,Peter Griffin,Featuring
4,Stewie B. Goode (Part 1)[c],Peter Griffin,Featuring
4,Stewie B. Goode (Part 1)[c],Stewie Griffin,Featuring
4,"Bango Was His Name, Oh! (Part 2)[c]",Stewie Griffin,Featuring
4,"Bango Was His Name, Oh! (Part 2)[c]",Brian Griffin,Featuring
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Stewie Griffin,Featuring
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Stu Griffin,Featuring
5,Stewie Loves Lois,Stewie Griffin,Featuring
5,Stewie Loves Lois,Lois Griffin,Featuring
5,Stewie Loves Lois,Peter Griffin,Featuring
5,Stewie Loves Lois,Dr. Hartman,Featuring
5,Mother Tucker,Peter Griffin,Featuring
5,Mother Tucker,Thelma Griffin,Featuring
5,Mother Tucker,Tom Tucker,Featuring
